id,cntry_name,area,capname,caplong,caplat,gwcode,gwsdate,gwsyear,gwsmonth,gwsday,gwedate,gweyear,gwemonth,gweday,en_cntry_name,fr_cntry_name,de_cntry_name,fi_cntry_name
125,Latvia,65966,Riga,24.1333,56.9667,367,17.11.1918 23:00:00,1918,11,18,31.05.1940 23:00:00,1940,6,1,Latvia,Lettonie,Lettland,Latvia
126,Lebanon,10209.3,Beirut,35.5097,33.8719,660,25.04.1920 23:00:00,1920,4,26,22.12.1920 23:00:00,1920,12,23,Lebanon,Liban,Libanon,Libanon
127,Lesotho,30516.1,Maseru,27.4833,-29.3167,570,31.12.1885 23:00:00,1886,1,1,02.10.1966 23:00:00,1966,10,3,Lesotho,Lesotho,Lesotho,Lesotho
128,Liberia,96000.3,Monrovia,-10.8047,6.31056,450,31.12.1885 23:00:00,1886,1,1,06.12.1892 23:00:00,1892,12,7,Liberia,Liberia,Liberia,Liberia
129,Libya,881852,Tripoli,13.18,32.8925,620,17.10.1912 23:00:00,1912,10,18,10.09.1919 23:00:00,1919,9,11,Libya,Libye,Libyen,Libya
130,Lithuania,83882.2,Vilnius,25.3167,54.6833,368,15.02.1918 23:00:00,1918,2,16,05.10.1920 23:00:00,1920,10,6,Lithuania,Lituanie,Litauen,Liettua
131,Luxembourg,2581.61,Luxembourg,6.13,49.6117,212,31.12.1885 23:00:00,1886,1,1,30.12.2019 23:00:00,2019,12,31,Luxembourg,Luxembourg,Luxemburg,Luxemburg
132,Macedonia (FYROM/North Macedonia),25460.6,Skopje,21.428,41.9973,343,19.11.1991 23:00:00,1991,11,20,30.12.2019 23:00:00,2019,12,31,Macedonia (FYROM/North Macedonia),Macédoine (FYROM/Macédoine du Nord),Mazedonien (FYROM/Nordmazedonien),Makedonia (EJTM/Pohjois-Makedonia)
133,Madagascar (Malagasy),592864,Antananarivo,47.5167,-18.9167,580,31.12.1885 23:00:00,1886,1,1,04.08.1896 23:00:00,1896,8,5,Madagascar (Malagasy),Madagascar (Malagasy),Madagaskar (Madagassisch),Madagaskar (Madagaskar)
134,Malawi,118483,Lilongwe,33.7833,-13.9833,553,09.06.1891 23:00:00,1891,6,10,30.07.1953 23:00:00,1953,7,31,Malawi,Malawi,Malawi,Malawi
135,Malaysia,131495,Kuala Lumpur,101.7,3.16667,820,31.03.1946 23:00:00,1946,4,1,29.08.1957 23:00:00,1957,8,30,Malaysia,Malaisie,Malaysia,Malesia
